speaker,party,night,category,have
Jim Justice,Republican,2,Governor,False
Sam Brown,Republican,2,Candidate,False
Tim Sheehy,Republican,2,Candidate,False
Hung Cao,Republican,2,Candidate,False
Jeff Van Drew,Republican,2,Congress,False
Tom Emmer,Republican,2,Congress,False
Savannah Chrisley,Republican,2,Celebrity,False
Randy Sutton,Republican,2,Citizen,False
Brenna Bird,Republican,2,Official,False
Eric Schmitt,Republican,2,Senator,False
Michael Coyle,Republican,2,Citizen,False
Erin Koper,Republican,2,Citizen,False
Anne Fundner,Republican,2,Citizen,False
The Morin family,Republican,2,Citizen,False
Madeline Brame,Republican,2,Citizen,False
Brian Mast,Republican,3,Congress,False
Nancy Mace,Republican,3,Congress,False
Ronny Jackson,Republican,3,Congress,False
Ric Grenell,Republican,3,Official,False
Lee Zeldin,Republican,3,Candidate,False
Peter Navarro,Republican,3,Official,False
Thomas Homan,Republican,3,Official,False
Jim Chilton,Republican,3,Citizen,False
Sarah Phillips,Republican,3,Citizen,False
Trent Conaway,Republican,3,Official,False
Doug Burgum,Republican,3,Governor,False
Anna Paulina Luna,Republican,3,Congress,False
David Bellavia,Republican,3,Veteran,False
Scott Neil,Republican,3,Citizen,False
Michael Waltz,Republican,3,Congress,False
Christy Shamblin,Republican,3,Citizen,False
Cheryl Juels,Republican,3,Citizen,False
Herman Lopez,Republican,3,Citizen,False
Alicia Lopez,Republican,3,Citizen,False
Shabbos Kestenbaum,Republican,3,Activist,False
The Neutra family,Republican,3,Citizen,False
William Pekrul,Republican,3,Veteran,False
Steve Daines,Republican,4,Senator,False
Richard Hudson,Republican,4,Congress,False
Diane Hendricks,Republican,4,Business,False
Diane Evans,Republican,4,Citizen,False
Mike Pompeo,Republican,4,Headliner,False
Lorenzo Sewell,Republican,4,Faith,False
John Nieporte,Republican,4,Citizen,False
Steve Witkoff,Republican,4,Business,False
Zach Witkoff,Republican,4,Family,False
Alina Habba,Republican,4,Official,False
Carrie Ruiz,Republican,4,Citizen,False
Annette Albright,Republican,4,Citizen,False
Lee Greenwood,Republican,4,Performer,False
Kid Rock,Republican,4,Celebrity,False
